                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                 1.0641,                0.75293,                 1.2794,                0.91275,                0.78263,                0.83088,                0.63221,                    nan,                    nan,                    nan,               0.002971,               0.002971,               0.002971
                    144,                 1.0539,                0.74091,                 1.2694,                0.91151,                0.78388,                0.83149,                0.63297,                    nan,                    nan,                    nan,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0605,                0.74084,                 1.2762,                0.91068,                0.78379,                0.83172,                0.63363,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                    146,                 1.0522,                0.74446,                  1.269,                0.90954,                0.78528,                0.83176,                0.63403,                    nan,                    nan,                    nan,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.0478,                0.73766,                 1.2681,                0.91173,                0.78414,                0.83193,                0.63435,                    nan,                    nan,                    nan,               0.002773,               0.002773,               0.002773
                    148,                 1.0609,                0.74283,                 1.2728,                0.91255,                0.78402,                0.83142,                0.63437,                    nan,                    nan,                    nan,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0577,                 0.7446,                 1.2735,                0.91292,                0.78444,                0.83131,                0.63438,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                    150,                 1.0459,                0.73861,                 1.2685,                0.91319,                0.78552,                0.83182,                0.63514,                    nan,                    nan,                    nan,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.0399,                0.73012,                 1.2657,                0.91382,                0.78507,                0.83203,                0.63509,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                    152,                 1.0535,                0.74854,                 1.2668,                0.91365,                0.78488,                0.83186,                0.63566,                    nan,                    nan,                    nan,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.0466,                0.73718,                 1.2647,                0.91174,                0.78768,                0.83189,                0.63606,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                    154,                 1.0491,                0.73342,                  1.263,                 0.9123,                0.78661,                0.83181,                0.63641,                    nan,                    nan,                    nan,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.0454,                0.73001,                 1.2681,                0.91217,                0.78744,                0.83202,                0.63649,                    nan,                    nan,                    nan,               0.002377,               0.002377,               0.002377
                    156,                 1.0439,                0.72743,                 1.2678,                0.91154,                0.78814,                0.83224,                0.63685,                    nan,                    nan,                    nan,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.0314,                0.72567,                 1.2569,                0.90924,                0.79086,                 0.8327,                0.63745,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                    158,                 1.0311,                0.72314,                 1.2587,                0.91148,                0.78856,                 0.8327,                0.63773,                    nan,                    nan,                    nan,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.0386,                0.73112,                 1.2671,                0.91095,                0.78949,                0.83285,                 0.6383,                    nan,                    nan,                    nan,               0.002179,               0.002179,               0.002179
                    160,                 1.0358,                 0.7253,                 1.2587,                0.91027,                0.78958,                0.83262,                0.63802,                    nan,                    nan,                    nan,              0.0021295,              0.0021295,              0.0021295
